date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:50:00	1283/1283	---M-Z	200	added ('OK')	text/javascript	etag:%223c6007f-503-613ccd32b4a30-gzip%22	https://bootstrapget.com/demos/cube-admin-template/assets/vendor/morris/custom/dayData.js	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/assets/vendor/morris/custom/dayData.js	(from https://bootstrapget.com/demos/cube-admin-template/morris.html)
14:50:01	528/528	---M-Z	200	added ('OK')	text/javascript	etag:%223c60db1-210-613ccd32b4e18-gzip%22	https://bootstrapget.com/demos/cube-admin-template/assets/vendor/morris/custom/donutColors.js	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/assets/vendor/morris/custom/donutColors.js	(from https://bootstrapget.com/demos/cube-admin-template/morris.html)
14:50:01	577/577	---M-Z	200	added ('OK')	text/javascript	etag:%223c60081-241-613ccd32b4a30-gzip%22	https://bootstrapget.com/demos/cube-admin-template/assets/vendor/morris/custom/donutFormatter.js	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/assets/vendor/morris/custom/donutFormatter.js	(from https://bootstrapget.com/demos/cube-admin-template/morris.html)
14:50:01	498/498	---M-Z	200	added ('OK')	text/javascript	etag:%223c60db2-1f2-613ccd32b4e18-gzip%22	https://bootstrapget.com/demos/cube-admin-template/assets/vendor/morris/custom/morrisBar.js	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/assets/vendor/morris/custom/morrisBar.js	(from https://bootstrapget.com/demos/cube-admin-template/morris.html)
14:50:01	886/886	---M-Z	200	added ('OK')	text/javascript	etag:%223c60080-376-613ccd32b4a30-gzip%22	https://bootstrapget.com/demos/cube-admin-template/assets/vendor/morris/custom/negativeValues.js	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/assets/vendor/morris/custom/negativeValues.js	(from https://bootstrapget.com/demos/cube-admin-template/morris.html)
14:50:02	674/674	---M-Z	200	added ('OK')	text/javascript	etag:%223c6007e-2a2-613ccd32b4a30-gzip%22	https://bootstrapget.com/demos/cube-admin-template/assets/vendor/morris/custom/stackedBar.js	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/assets/vendor/morris/custom/stackedBar.js	(from https://bootstrapget.com/demos/cube-admin-template/morris.html)
14:50:02	3542/3542	---M-Z	200	added ('OK')	text/css	etag:%223c612de-dd6-613ccd32b5200-gzip%22	https://bootstrapget.com/demos/cube-admin-template/assets/vendor/nouislider/css/nouislider.css	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/assets/vendor/nouislider/css/nouislider.css	(from https://bootstrapget.com/demos/cube-admin-template/maps.html)
14:50:02	7816/7816	---M--	200	added ('OK')	image/svg+xml	etag:%223c6149f-1e88-613ccd32cc132%22	https://bootstrapget.com/demos/cube-admin-template/assets/images/flags/1x1/br.svg	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/assets/images/flags/1x1/br.svg	(from https://bootstrapget.com/demos/cube-admin-template/maps.html)
14:50:02	16511/16511	---M-Z	200	added ('OK')	text/javascript	etag:%223c612e1-407f-613ccd32b55e8-gzip%22	https://bootstrapget.com/demos/cube-admin-template/assets/vendor/nouislider/js/nouislider.js	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/assets/vendor/nouislider/js/nouislider.js	(from https://bootstrapget.com/demos/cube-admin-template/maps.html)
14:50:03	93251/93251	---M-Z	200	added ('OK')	text/javascript	etag:%223c6157c-16c43-613ccd32d980c-gzip%22	https://bootstrapget.com/demos/cube-admin-template/assets/js/raphael.min.js	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/assets/js/raphael.min.js	(from https://bootstrapget.com/demos/cube-admin-template/maps.html)
14:50:03	35973/35973	---M-Z	200	added ('OK')	text/javascript	etag:%223c6006f-8c85-613ccd32b3e78-gzip%22	https://bootstrapget.com/demos/cube-admin-template/assets/vendor/mapael/jquery.mapael.min.js	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/assets/vendor/mapael/jquery.mapael.min.js	(from https://bootstrapget.com/demos/cube-admin-template/maps.html)
14:50:04	135424/135424	---M-Z	200	added ('OK')	text/javascript	etag:%223c6006c-21100-613ccd32b3a90-gzip%22	https://bootstrapget.com/demos/cube-admin-template/assets/vendor/mapael/maps/france_departments.min.js	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/assets/vendor/mapael/maps/france_departments.min.js	(from https://bootstrapget.com/demos/cube-admin-template/maps.html)
14:50:04	166542/166542	---MCZ	200	added ('OK')	text/javascript	etag:%223c6006b-28a8e-613ccd32b3a90-gzip%22	https://bootstrapget.com/demos/cube-admin-template/assets/vendor/mapael/maps/world_countries.min.js	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/assets/vendor/mapael/maps/world_countries.min.js	(from https://bootstrapget.com/demos/cube-admin-template/maps.html)
14:50:04	60834/60834	---M-Z	200	added ('OK')	text/javascript	etag:%223c6006a-eda2-613ccd32b36a8-gzip%22	https://bootstrapget.com/demos/cube-admin-template/assets/vendor/mapael/maps/usa_states.min.js	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/assets/vendor/mapael/maps/usa_states.min.js	(from https://bootstrapget.com/demos/cube-admin-template/maps.html)
14:50:05	36027/36027	---M-Z	200	added ('OK')	text/javascript	etag:%223c60067-8cbb-613ccd32b36a8-gzip%22	https://bootstrapget.com/demos/cube-admin-template/assets/vendor/mapael/custom/population.js	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/assets/vendor/mapael/custom/population.js	(from https://bootstrapget.com/demos/cube-admin-template/maps.html)
14:50:05	4047/4047	---M-Z	200	added ('OK')	text/javascript	etag:%223c60068-fcf-613ccd32b36a8-gzip%22	https://bootstrapget.com/demos/cube-admin-template/assets/vendor/mapael/custom/plotted-cities.js	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/assets/vendor/mapael/custom/plotted-cities.js	(from https://bootstrapget.com/demos/cube-admin-template/maps.html)
14:50:05	20499/20499	---M-Z	200	added ('OK')	text/javascript	etag:%223c60065-5013-613ccd32b32c0-gzip%22	https://bootstrapget.com/demos/cube-admin-template/assets/vendor/mapael/custom/range-areas.js	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/assets/vendor/mapael/custom/range-areas.js	(from https://bootstrapget.com/demos/cube-admin-template/maps.html)
14:50:06	700/700	---M-Z	200	added ('OK')	text/javascript	etag:%223c60046-2bc-613ccd32b1768-gzip%22	https://bootstrapget.com/demos/cube-admin-template/assets/vendor/apex/custom/profile/trainings.js	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/assets/vendor/apex/custom/profile/trainings.js	(from https://bootstrapget.com/demos/cube-admin-template/profile.html)
14:50:07	35067/35067	---M--	200	added ('OK')	image/svg+xml	etag:%223c61575-88fb-613ccd32d903c%22	https://bootstrapget.com/demos/cube-admin-template/assets/images/notifications.svg	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/assets/images/notifications.svg	(from https://bootstrapget.com/demos/cube-admin-template/settings.html)
14:50:07	59083/59083	---M--	200	added ('OK')	image/svg+xml	etag:%223c6155b-e6cb-613ccd32d78cb%22	https://bootstrapget.com/demos/cube-admin-template/assets/images/upgrade.svg	C:/This%20New/cube/bootstrapget.com/demos/cube-admin-template/assets/images/upgrade.svg	(from https://bootstrapget.com/demos/cube-admin-template/profile.html)
